"SchoolName","SchoolSystem","SchoolGrade","SchoolGradeLetter","SchoolGradeNumber","GrowtStatus","GradeLevel","FreeReduced","Latitude","Longitude"
"Shoals Elementary","Surry County Schools","B - 84","B","84","Met","84.3","47","36.33153915","-80.50458527"
"Surry Central High","Surry County Schools","C - 64","C","64","NotMet","51.0","60","36.38155365","-80.71382141"
"Surry Early College","Surry County Schools","A+ - 92","A","92","Exceeded","86.5","55","36.38489151","-80.71542358"
"Westfield Elementary","Surry County Schools","C - 68","C","68","Met","65.6","64","36.45940018","-80.49360657"
"White Plains Elementary","Surry County Schools","B - 74","B","74","Exceeded","70.2","61","36.44855499","-80.66583252"
"Elkin Elementary","Elkin City Schools","B - 73","B","73","Met","70.8","46","36.24600600","-80.85433900"
"Elkin High","Elkin City Schools","B - 79","B","79","Met","71.1","37","36.24573898","-80.85906982"
"Elkin Middle","Elkin City Schools","B - 70","B","70","Met","66.2","48","36.24573898","-80.85906982"
"Bruce H Tharrington Elem","Mount Airy City Schools","I - NA","I","","NA","NA","72","36.48939800","-80.59963900"
"Jones Elementary","Mount Airy City Schools","B - 72","B","72","Exceeded","66.5","66","36.52744200","-80.58726500"
"Mount Airy High","Mount Airy City Schools","B - 80","B","80","Exceeded","62.6","44","36.51131821","-80.61530304"
"Mount Airy Middle","Mount Airy City Schools","C - 68","C","68","Met","64.3","55","36.49723400","-80.59076600"
"Millennium Charter Academy","Charter Schools","B - 72","B","72","Met","69.8","14","36.51599800","-80.59695400"
"Swain County High School","Swain County Schools","C - 61","C","61","NotMet","45.8","56","35.44739306","-83.45559843"
"Swain County Middle School","Swain County Schools","C - 57","C","57","Met","51.2","66","35.42352140","-83.44971903"
"Swain County East Elementary","Swain County Schools","C - 56","C","56","Met","50.1","67","35.45324707","-83.38863373"
"Swain County West Elementary","Swain County Schools","C - 69","C","69","Met","65.8","65","35.38787460","-83.48825836"
"Mountain Discovery","Charter Schools","B - 74","B","74","Met","72.1","53","35.41288711","-83.45437936"
"Brevard Elementary","Transylvania County Schools","C - 65","C","65","NotMet","63.3","68","35.22519954","-82.72399172"
"Brevard High","Transylvania County Schools","B - 74","B","74","Met","61.4","45","35.21668243","-82.73430634"
"Brevard Middle","Transylvania County Schools","C - 68","C","68","Met","64.7","58","35.24636459","-82.72911835"
"Pisgah Forest Elementary","Transylvania County Schools","B - 71","B","71","NotMet","72.0","61","35.25628200","-82.70422300"
"Davidson River School","Transylvania County Schools","NA - NA","N","","NA","31.2","94","35.25783100","-82.70431500"
"Rosman Elementary","Transylvania County Schools","B - 72","B","72","Met","69.8","75","35.14392471","-82.82688904"
"Rosman High","Transylvania County Schools","B - 70","B","70","Met","59.0","60","35.14415659","-82.82147996"
"Rosman Middle","Transylvania County Schools","C - 60","C","60","Met","57.7","63","35.14405441","-82.82070923"
"T C Henderson Elementary","Transylvania County Schools","B - 77","B","77","Met","76.2","70","35.13088502","-82.88763531"
"Brevard Academy","Charter Schools","B - 75","B","75","Met","73.9","65","35.24224430","-82.75228970"
"Columbia High","Tyrrell County Schools","B - 73","B","73","Exceeded","57.7","57","35.24224430","-82.75228970"
"Columbia Middle","Tyrrell County Schools","D - 43","D","43","Met","35.8","77","35.91847949","-76.24669768"
"Tyrrell Elementary","Tyrrell County Schools","C - 56","C","56","Met","49.7","78","35.91482230","-76.24247789"
"Antioch Elementary","Union County Public Schools","A+ - 87","A","87","Met","88.2","11","35.05870819","-80.72123718"
"Rea View Elementary","Union County Public Schools","A - 85","A","85","NotMet","90.0","2","35.01580811","-80.77574921"
"Benton Heights Elementary","Union County Public Schools","D - 42","D","42","NotMet","36.5","90","34.99370193","-80.55355072"
"New Town Elementary","Union County Public Schools","A+ - 88","A","88","Exceeded","87.7","8","34.97837830","-80.70610809"
"East Elementary","Cleveland County Schools","B - 77","B","77","Exceeded","74.5","76","34.97793961","-80.53195190"
"East Elementary","Union County Public Schools","F - 36","F","36","NotMet","29.2","98","34.97793961","-80.53195190"
"Rocky River Elementary","Cabarrus County Schools","D - 50","D","50","NotMet","46.3","65","34.99441910","-80.60912323"
"Rocky River Elementary","Mooresville City Schools","B - 82","B","82","NotMet","84.8","29","34.99441910","-80.60912323"
"Rocky River Elementary","Union County Public Schools","B - 76","B","76","Exceeded","73.0","61","34.99441910","-80.60912323"
"East Union Middle","Union County Public Schools","D - 52","D","52","NotMet","48.3","74","34.98342100","-80.38397200"
"Cuthbertson Middle","Union County Public Schools","A - 91","A","91","Exceeded","88.5","11","34.97377396","-80.73857032"
"Cuthbertson High","Union County Public Schools","A+ - 92","A","92","Exceeded","86.2","12","34.97513250","-80.73691137"
"Fairview Elementary","Buncombe County Schools","B - 70","B","70","Met","66.6","47","35.16013336","-80.54177856"
"Fairview Elementary","Guilford County Schools","D - 42","D","42","Exceeded","29.6","100","35.16013336","-80.54177856"
"Fairview Elementary","Jackson County Schools","C - 66","C","66","Exceeded","60.9","59","35.16013336","-80.54177856"
"Fairview Elementary","Nash-Rocky Mount Schools","I - NA","I","","NA","NA","100","35.16013336","-80.54177856"
"Fairview Elementary","Union County Public Schools","B - 75","B","75","Met","72.8","30","35.16013336","-80.54177856"
"Monroe Middle","Union County Public Schools","D - 48","D","48","NotMet","42.9","92","34.97163489","-80.53866528"
"Forest Hills High","Union County Public Schools","C - 64","C","64","Met","44.2","69","34.97954559","-80.41461182"
"Hemby Bridge Elementary","Union County Public Schools","B - 77","B","77","Met","76.2","30","35.10758209","-80.61848450"
"Indian Trail Elementary","Union County Public Schools","B - 77","B","77","Exceeded","74.0","35","35.07438660","-80.67489624"
"Kensington Elementary","Union County Public Schools","B - 77","B","77","NotMet","79.5","8","34.94362200","-80.77536000"
"Marshville Elementary","Union County Public Schools","C - 58","C","58","NotMet","56.7","70","34.99266815","-80.37106323"
"Marvin Elementary","Union County Public Schools","A - 86","A","86","Met","87.7","4","34.99986267","-80.80814362"
"Monroe High","Union County Public Schools","D - 51","D","51","NotMet","34.2","89","34.97200775","-80.52625275"
"New Salem Elementary","Union County Public Schools","B - 78","B","78","Met","79.2","27","35.12851715","-80.37071991"
"Porter Ridge Elementary","Union County Public Schools","B - 70","B","70","Exceeded","65.7","44","35.09004101","-80.56812935"
"Porter Ridge High School","Union County Public Schools","B - 75","B","75","Met","68.5","27","35.08996993","-80.56805491"
"Porter Ridge Middle School","Union County Public Schools","B - 71","B","71","Met","68.2","33","35.08996201","-80.57395935"
"Parkwood High","Union County Public Schools","C - 64","C","64","NotMet","55.2","41","34.90144730","-80.62957001"
"Parkwood Middle","Union County Public Schools","C - 62","C","62","NotMet","63.4","47","34.89860916","-80.63085175"
"Poplin Elementary","Union County Public Schools","A+ - 85","A","85","Exceeded","83.3","27","35.08845448","-80.60137935"
"Piedmont High","Union County Public Schools","B - 84","B","84","Exceeded","79.1","26","35.09512711","-80.49018860"
"Piedmont Middle","Union County Public Schools","B - 72","B","72","Met","71.0","30","35.09249115","-80.49114990"
"Rock Rest Elementary","Union County Public Schools","C - 67","C","67","Met","65.3","92","34.95790100","-80.48722076"
"Prospect Elementary","Robeson County Schools","D - 49","D","49","Met","42.4","73","34.85974503","-80.61350250"
"Prospect Elementary","Union County Public Schools","C - 63","C","63","Met","58.3","49","34.85974503","-80.61350250"
"Sandy Ridge Elementary","Durham Public Schools","D - 43","D","43","NotMet","38.3","58","34.96800995","-80.80171967"
"Sandy Ridge Elementary","Stokes County Schools","C - 65","C","65","Met","59.5","60","34.96800995","-80.80171967"
"Sandy Ridge Elementary","Union County Public Schools","B - 83","B","83","Met","83.4","3","34.96800995","-80.80171967"
"Sardis Elementary","Union County Public Schools","C - 66","C","66","Met","61.3","59","35.07025909","-80.62065887"
"Shiloh Elementary","Union County Public Schools","B - 78","B","78","Exceeded","76.4","43","35.03987503","-80.64759064"
"Stallings Elementary","Union County Public Schools","B - 81","B","81","Met","80.2","22","35.11236168","-80.66222325"
"Sun Valley High","Union County Public Schools","B - 72","B","72","NotMet","67.5","36","35.11236168","-80.66222325"
"Sun Valley Middle","Union County Public Schools","C - 66","C","66","NotMet","67.9","39","35.04504561","-80.64852320"
"Sun Valley Elementary","Union County Public Schools","B - 80","B","80","Met","78.7","35","35.03533132","-80.64945325"
"Union Elementary","Brunswick County Schools","B - 75","B","75","Exceeded","71.8","99","34.91112900","-80.41149902"
"Union Elementary","Cleveland County Schools","C - 62","C","62","Met","56.5","72","34.91112900","-80.41149902"
"Union Elementary","Lincoln County Schools","B - 79","B","79","Exceeded","76.5","51","34.91112900","-80.41149902"
"Union Elementary","Robeson County Schools","C - 57","C","57","Exceeded","48.2","83","34.91112900","-80.41149902"
"Union Elementary","Sampson County Schools","B - 74","B","74","Exceeded","71.3","91","34.91112900","-80.41149902"
"Union Elementary","Union County Public Schools","B - 70","B","70","Met","67.1","62","34.91112900","-80.41149902"
"South Providence","Union County Public Schools","NA - NA","N","","NA","6.4","94","34.92049000","-80.74254600"
"Central Academy of Technology & Arts","Union County Public Schools","A+ - 95","A","95","Exceeded","94.6","25","34.97198400","-80.56735200"
"Union County Early College","Union County Public Schools","A+ - 93","A","93","Met","91.1","41","35.03047900","-80.62187100"
"Unionville Elementary","Union County Public Schools","B - 83","B","83","Exceeded","81.0","37","35.08742523","-80.50840759"
"Walter Bickett Elementary","Union County Public Schools","F - 39","F","39","NotMet","33.7","93","34.89351273","-80.53932953"
"Waxhaw Elementary","Union County Public Schools","C - 64","C","64","Met","60.2","41","34.91890300","-80.73214700"
"Weddington Elementary","Union County Public Schools","A - 92","A","92","Exceeded","93.8","7","35.00576265","-80.72993830"
"Weddington High","Union County Public Schools","A+ - 89","A","89","Met","88.4","8","35.00476837","-80.72499847"
"Weddington Middle","Union County Public Schools","A+ - 93","A","93","Exceeded","93.3","10","35.00476837","-80.72499847"
"Wesley Chapel Elementary","Union County Public Schools","B - 83","B","83","Met","82.9","16","35.00476837","-80.72499847"
"Western Union Elementary","Union County Public Schools","C - 65","C","65","Met","63.5","54","34.92540700","-80.69090200"
"Wingate Elementary","Union County Public Schools","C - 57","C","57","Met","53.6","87","34.98455000","-80.45543600"
"Marvin Ridge Middle","Union County Public Schools","A - 93","A","93","Exceeded","92.5","3","34.97456741","-80.79348755"
"Wolfe School","Union County Public Schools","NA - NA","N","","NA","13.6","47","34.97016303","-80.56753591"
"Marvin Ridge High","Union County Public Schools","A - 93","A","93","Exceeded","91.1","2","34.97407705","-80.79720274"
"Union Academy","Charter Schools","B - 77","B","77","NotMet","76.8","3","35.06740189","-80.52611542"
"Union Academy","Macon County Schools","NA - NA","N","","NA","14.8","90","35.06740189","-80.52611542"
"Aycock Elementary","Vance County Schools","B - 72","B","72","Met","70.8","66","36.31992571","-78.35961387"
"Carver Elementary","Vance County Schools","D - 53","D","53","NotMet","49.5","70","36.36143875","-78.39089203"
"Carver Elementary","Wake County Schools","C - 59","C","59","Met","55.3","57","36.36143875","-78.39089203"
"Carver Elementary","Wayne County Public Schools","D - 51","D","51","Exceeded","42.0","100","36.36143875","-78.39089203"
"Clarke Elementary","Vance County Schools","C - 60","C","60","Exceeded","54.0","71","36.29917145","-78.36879730"
"Dabney Elementary","Vance County Schools","C - 56","C","56","Met","50.2","68","36.32950790","-78.48357551"
"Eaton-Johnson Middle","Vance County Schools","F - 37","F","37","Met","26.1","67","36.33730642","-78.40123639"
"Henderson Middle","Vance County Schools","F - 35","F","35","NotMet","29.1","67","36.32672578","-78.39917578"
"New Hope Elementary","Gaston County Schools","B - 78","B","78","Met","76.2","28","36.46412730","-78.44126768"
"New Hope Elementary","Orange County Schools","C - 66","C","66","Exceeded","59.8","63","36.46412730","-78.44126768"
"New Hope Elementary","Vance County Schools","D - 46","D","46","Met","37.0","76","36.46412730","-78.44126768"
"New Hope Elementary","Wilson County Schools","B - 75","B","75","Exceeded","71.8","35","36.46412730","-78.44126768"
"E O Young Jr Elementary","Vance County Schools","D - 44","D","44","NotMet","37.2","70","36.39610581","-78.32922041"
"Pinkston Street Elementary","Vance County Schools","C - 61","C","61","Met","55.1","82","36.32413074","-78.38658080"
"E M Rollins Elementary","Vance County Schools","D - 42","D","42","NotMet","37.1","75","36.32022008","-78.41540448"
"Southern Vance High","Vance County Schools","D - 49","D","49","NotMet","27.1","57","36.30471039","-78.37436676"
"Western Vance High","Vance County Schools","NA - NA","N","","NA","7.0","73","36.34713069","-78.49512644"
"Northern Vance High","Vance County Schools","D - 46","D","46","NotMet","25.9","55","36.34972706","-78.37514386"
"L B Yancey Elementary","Vance County Schools","D - 44","D","44","Met","37.1","80","36.30580139","-78.40214539"
"Zeb Vance Elementary","Vance County Schools","C - 60","C","60","Met","54.5","65","36.26565792","-78.40827316"
"Vance Co Early College","Vance County Schools","B - 77","B","77","Met","66.0","36","36.32249996","-78.48860063"
"STEM Early High","Vance County Schools","C - 62","C","62","NotMet","64.7","100","36.34972706","-78.37514386"
"Vance Charter School","Charter Schools","C - 65","C","65","NotMet","65.7","20","36.33024618","-78.43043558"
"Henderson Collegiate","Charter Schools","A+ - 88","A","88","Exceeded","84.9","92","36.31959915","-78.39335632"
"River Bend Elementary","Wake County Schools","C - 60","C","60","Met","55.9","62","35.86465800","-78.53592600"
"Adams Elementary","Wake County Schools","B - 73","B","73","Met","73.0","40","35.77740400","-78.76164200"
"Herbert Akins Rd Elementary","Wake County Schools","B - 70","B","70","NotMet","73.2","25","35.62112800","-78.80360400"
"Alston Ridge Elementary","Wake County Schools","B - 81","B","81","NotMet","85.3","7","35.83134079","-78.82086945"
"Apex Elementary","Wake County Schools","C - 69","C","69","NotMet","71.6","35","35.72097700","-78.85697900"
