school_name_value,school_system_value,schoolgrade_value,growthstatus_value,gradelevel_value,freereduced_value
"Knightdale High","Wake County Schools","C - 56","NotMet","37.2","57"
"Laurel Park Elementary","Wake County Schools","B - 76","NotMet","79.0","11"
"Lacy Elementary","Wake County Schools","B - 72","NotMet","74.0","27"
"Leesville Road Elementary","Wake County Schools","C - 69","NotMet","70.7","28"
"Lead Mine Elementary","Wake County Schools","C - 58","NotMet","57.9","35"
"Leesville Road Middle","Wake County Schools","B - 75","Exceeded","70.9","26"
"Ligon Middle","Wake County Schools","C - 66","NotMet","68.0","34"
"Leesville Road High","Wake County Schools","A+ - 85","Exceeded","75.5","22"
"Lake Myra Elementary","Wake County Schools","C - 56","NotMet","55.8","46"
"Lincoln Heights Elementary","Wake County Schools","D - 46","NotMet","42.9","65"
"Lockhart Elementary","Wake County Schools","C - 57","Met","51.2","51"
"Lufkin Road Middle","Wake County Schools","B - 83","Exceeded","81.5","16"
"Lynn Road Elementary","Wake County Schools","C - 62","Exceeded","56.1","50"
"Martin Middle","Wake County Schools","B - 76","Exceeded","72.9","28"
"Middle Creek Elementary","Wake County Schools","B - 74","NotMet","76.8","17"
"Middle Creek High","Wake County Schools","B - 84","Exceeded","73.3","30"
"Millbrook Elementary","Wake County Schools","D - 52","NotMet","48.8","64"
"Millbrook High","Wake County Schools","B - 81","Exceeded","66.5","33"
"Mills Park Elementary","Wake County Schools","A - 88","Met","88.8","8"
"Mills Park Middle","Wake County Schools","A - 86","Exceeded","85.3","9"
"Morrisville Elementary","Wake County Schools","A+ - 87","Met","90.4","7"
"Moore Square Museum Magnet Middle","Wake County Schools","C - 59","Met","52.9","47"
"Mount Vernon","Wake County Schools","NA - NA","NA","20.3","67"
"North Garner Middle","Wake County Schools","C - 63","Exceeded","56.4","52"
"North Forest Pines Elementary","Wake County Schools","B - 72","NotMet","73.0","24"
"North Ridge Elementary","Wake County Schools","C - 61","NotMet","60.7","39"
"Northwoods Elementary","Wake County Schools","B - 71","Met","67.3","39"
"Oak Grove Elementary","Wake County Schools","B - 81","Met","80.5","17"
"Olive Chapel Elementary","Wake County Schools","B - 77","NotMet","81.9","6"
"Olds Elementary","Wake County Schools","B - 72","NotMet","75.4","24"
"Partnership Elementary","Wake County Schools","C - 63","Met","61.0","30"
"Panther Creek High","Wake County Schools","A+ - 88","Exceeded","81.8","12"
"Phillips High","Wake County Schools","NA - NA","NA","12.7","83"
"Penny Road Elementary","Wake County Schools","B - 79","Met","78.8","26"
"Pleasant Union Elementary","Wake County Schools","B - 79","NotMet","81.2","7"
"Poe Elementary","Wake County Schools","D - 54","Met","49.4","60"
"Powell Elementary","Wake County Schools","C - 57","Met","52.1","52"
"Rand Road Elementary","Wake County Schools","C - 67","NotMet","67.2","30"
"Reedy Creek Elementary","Wake County Schools","C - 69","Met","65.3","51"
"Richland Creek ES","Wake County Schools","C - 59","NotMet","59.2","43"
"Rolesville Elementary","Wake County Schools","B - 74","Met","72.6","37"
"Rolesville Middle","Wake County Schools","C - 62","NotMet","61.9","37"
"Rolesville High","Wake County Schools","D - 48","NotMet","46.6","43"
"Root Elementary","Wake County Schools","B - 78","Met","77.9","25"
"Salem Elementary","Wake County Schools","B - 70","NotMet","72.9","26"
"Salem Middle","Wake County Schools","B - 78","Exceeded","75.9","16"
"Sanderson High","Wake County Schools","B - 74","Exceeded","59.5","32"
"Sanford Creek Elementary","Wake County Schools","C - 68","Met","66.9","26"
"Smith Elementary","Wake County Schools","C - 55","Met","48.6","71"
"Southeast Raleigh High","Wake County Schools","C - 67","Exceeded","46.4","59"
"Stough Elementary","Wake County Schools","C - 55","NotMet","51.8","46"
"Swift Creek Elementary","Wake County Schools","C - 68","Met","66.0","41"
"Sycamore Creek Elementary","Wake County Schools","A+ - 85","Met","86.1","4"
"Timber Drive Elementary","Wake County Schools","C - 58","NotMet","57.8","42"
"Turner Creek Elementary","Wake County Schools","B - 76","NotMet","79.5","15"
"Underwood Elementary","Wake County Schools","B - 81","Met","81.0","21"
"Vance Elementary","Wake County Schools","C - 60","NotMet","58.8","42"
"Vandora Springs Elementary","Wake County Schools","D - 54","NotMet","51.5","49"
"Vernon Malone College and Career Academy","Wake County Schools","C - 60","Met","53.6","43"
"Wake STEM Early College High School","Wake County Schools","A - 93","Exceeded",">95","34"
"Wake Early College of Health and Science","Wake County Schools","A - 91","Exceeded","85.1","31"
"Wake Forest Elementary","Wake County Schools","C - 66","NotMet","68.4","37"
"Wake Young Men's Leadership Academy","Wake County Schools","C - 67","NotMet","65.9","36"
"Wake Young Women's Leadership Academy","Wake County Schools","B - 78","Exceeded","75.4","35"
"Wake Forest High School","Wake County Schools","B - 81","Exceeded","65.7","30"
"Wake Forest Middle School","Wake County Schools","C - 62","Met","59.5","40"
"Wakefield Elementary","Wake County Schools","C - 57","NotMet","56.4","35"
"Wakefield Middle","Wake County Schools","B - 73","Exceeded","69.3","28"
"Wakefield High","Wake County Schools","B - 78","Exceeded","64.1","30"
"Washington Elementary","Wake County Schools","B - 73","Met","70.0","29"
"Wakelon Elementary","Wake County Schools","C - 60","Met","54.5","70"
"Weatherstone Elementary","Wake County Schools","B - 79","Met","77.4","27"
"Walnut Creek ES","Wake County Schools","D - 53","Met","45.8","78"
"Wendell Elementary","Wake County Schools","C - 60","Met","55.5","54"
"Wendell Middle","Wake County Schools","D - 50","Met","44.2","62"
"West Cary Middle","Wake County Schools","B - 74","Met","74.5","23"
"West Lake Elementary","Wake County Schools","B - 73","Met","72.8","17"
"West Lake Middle","Wake County Schools","B - 72","Met","71.5","22"
"West Millbrook Middle","Wake County Schools","C - 63","Met","59.5","40"
"Wilburn Elementary","Wake County Schools","D - 47","Met","41.1","66"
"Wildwood Forest Elementary","Wake County Schools","C - 62","Met","57.5","49"
"Wiley Elementary","Wake County Schools","C - 63","NotMet","63.2","28"
"Willow Springs Elementary","Wake County Schools","B - 83","Exceeded","82.0","30"
"Yates Mill Elementary","Wake County Schools","B - 71","Met","68.9","51"
"York Elementary","Wake County Schools","C - 69","Met","65.9","45"
"Zebulon Elementary","Wake County Schools","D - 53","NotMet","52.1","63"
"Zebulon Middle","Wake County Schools","C - 55","Met","48.3","65"
"East Wake School of Health Science","Wake County Schools","C - 69","Exceeded","48.1","52"
"East Wake School of Integrated Technolog","Wake County Schools","C - 63","Met","41.0","65"
"East Wake School of Arts Education and G","Wake County Schools","C - 68","Exceeded","47.9","65"
"East Wake School of Engineering","Wake County Schools","C - 59","Met","35.1","51"
"Mariam Boyd Elementary","Warren County Schools","D - 44","NotMet","37.6","95"
"Northside K-8","Warren County Schools","D - 43","Exceeded","31.2","100"
"South Warren Elementary","Warren County Schools","C - 56","Exceeded","48.2","98"
"Vaughan Elementary","Warren County Schools","C - 64","Exceeded","57.8","93"
"Warren County High","Warren County Schools","D - 46","NotMet","20.6","79"
"Warren County Middle","Warren County Schools","D - 40","Met","31.7","82"
"Warren Early College High","Warren County Schools","C - 62","NotMet","50.0","57"
"Warren New Tech High","Warren County Schools","C - 58","NotMet","37.7","64"
"Creswell Elementary","Washington County Schools","D - 47","Met","38.4","84"
"Creswell High","Washington County Schools","C - 58","Met","43.0","75"
"Pines Elementary","Washington County Schools","D - 40","Met","31.6","97"
"Plymouth High","Washington County Schools","C - 55","Met","26.1","96"
"Washington County Union","Washington County Schools","D - 52","Exceeded","40.4","96"
"Bethel Elementary","Watauga County Schools","C - 62","Exceeded","56.0","59"
"Blowing Rock Elementary","Watauga County Schools","B - 81","Met","80.7","21"
"Cove Creek Elementary","Watauga County Schools","C - 67","Met","65.2","57"
"Green Valley Elementary","Watauga County Schools","C - 67","Exceeded","60.9","53"
"Hardin Park Elementary","Watauga County Schools","B - 76","Met","74.9","40"
"Mabel Elementary","Watauga County Schools","C - 62","Met","57.9","58"
"Parkway Elementary","Watauga County Schools","B - 74","Met","72.1","40"
"Valle Crucis Elementary","Watauga County Schools","B - 74","Met","73.6","40"
"Watauga High","Watauga County Schools","B - 74","NotMet","66.8","31"
"Brogden Middle","Wayne County Public Schools","F - 35","Met","24.8","100"
"Brogden Primary","Wayne County Public Schools","F - 38","Met","29.3","100"
"Carver Elementary","Wayne County Public Schools","D - 51","Exceeded","42.0","100"
"Carver Heights Elementary","Wayne County Public Schools","F - 35","Met","23.0","100"
"Charles B Aycock High","Wayne County Public Schools","B - 70","Met","55.6","39"
"Dillard Middle","Wayne County Public Schools","F - 23","NotMet","14.6","100"
"Eastern Wayne Elementary","Wayne County Public Schools","D - 46","Met","36.8","100"
"Eastern Wayne High","Wayne County Public Schools","C - 64","Met","43.0","50"
"Eastern Wayne Middle","Wayne County Public Schools","D - 53","Exceeded","43.9","63"
"Edgewood Cmty Developmental","Wayne County Public Schools","NA - NA","NA","63.0","84"
"Fremont STARS Elementary","Wayne County Public Schools","C - 60","Met","54.7","100"
"Goldsboro High","Wayne County Public Schools","D - 43","NotMet","18.1","100"
"Grantham","Wayne County Public Schools","C - 62","Exceeded","54.2","64"
"Greenwood Middle","Wayne County Public Schools","C - 59","Exceeded","50.2","69"
"Meadow Lane Elementary","Wayne County Public Schools","C - 67","Exceeded","60.7","65"
"Mount Olive Middle","Wayne County Public Schools","D - 48","Met","39.5","72"
"Norwayne Middle","Wayne County Public Schools","C - 65","Exceeded","58.8","52"
"Rosewood Elementary","Wayne County Public Schools","C - 57","Met","52.9","53"
"Rosewood High","Wayne County Public Schools","C - 69","Met","49.8","37"
"Rosewood Middle","Wayne County Public Schools","C - 59","Met","53.9","50"
"School Street Elementary","Wayne County Public Schools","D - 42","Met","31.7","100"
"Southern Wayne High","Wayne County Public Schools","D - 51","NotMet","30.4","68"
"Spring Creek Elementary","Wayne County Public Schools","C - 59","Exceeded","50.5","100"
"Spring Creek High","Wayne County Public Schools","D - 53","NotMet","39.5","65"
"Tommy's Road Elementary","Wayne County Public Schools","C - 55","Met","48.3","61"
"North Drive Elementary","Wayne County Public Schools","D - 50","Met","41.8","100"
"Northeast Elementary","Wayne County Public Schools","C - 57","NotMet","54.9","57"
"Northwest Elementary","Wayne County Public Schools","C - 63","Exceeded","56.7","43"
"Wayne Middle / High Academy","Wayne County Public Schools","NA - NA","NA","11.0","100"
"Wayne Early / Middle College High","Wayne County Public Schools","A - 92","Exceeded","87.6","39"
"Wayne School of Engineering","Wayne County Public Schools","B - 83","Met","81.0","31"
"Roanoke Valley Early College","Weldon City Schools","B - 77","Met","71.1","31"
"Weldon Elementary","Weldon City Schools","F - 36","Met","24.1","74"
"Weldon High","Weldon City Schools","D - 54","Met","21.0","59"
"Weldon Middle","Weldon City Schools","F - 32","Met","21.9","73"
"Central Middle","Whiteville City Schools","C - 63","Exceeded","57.0","68"
"Edgewood Elementary","Whiteville City Schools","C - 64","Exceeded","56.8","80"
"North Whiteville Academy","Whiteville City Schools","NA - NA","NA","12.9","91"
"Whiteville High","Whiteville City Schools","C - 61","NotMet","47.6","57"
"Whiteville Primary","Whiteville City Schools","I - NA","NA","NA","86"
"Boomer-Ferguson Elementary","Wilkes County Schools","C - 56","Met","50.7","62"
"C B Eller Elementary","Wilkes County Schools","C - 69","Exceeded","64.1","47"
"C C Wright Elementary","Wilkes County Schools","D - 51","Met","43.3","60"
"Central Wilkes Middle","Wilkes County Schools","C - 63","Exceeded","55.2","49"
"East Wilkes High","Wilkes County Schools","C - 61","NotMet","45.3","31"
"East Wilkes Middle","Wilkes County Schools","C - 65","Exceeded","59.8","40"
"Millers Creek Elementary","Wilkes County Schools","C - 66","Exceeded","59.3","49"
"Moravian Falls Elementary","Wilkes County Schools","B - 74","Exceeded","70.3","60"
"Mount Pleasant Elementary","Wilkes County Schools","C - 60","NotMet","58.2","45"
"Mountain View Elementary","Wilkes County Schools","C - 66","Exceeded","61.5","53"
"Mulberry Elementary","Wilkes County Schools","C - 62","Met","58.1","62"
"North Wilkes High","Wilkes County Schools","C - 62","NotMet","50.6","38"
"North Wilkes Middle","Wilkes County Schools","C - 56","Met","48.9","43"
"North Wilkesboro Elementary","Wilkes County Schools","D - 52","Met","43.5","79"
"Roaring River Elementary","Wilkes County Schools","C - 61","Exceeded","53.8","47"
"Ronda-Clingman Elementary","Wilkes County Schools","C - 55","Met","50.3","38"
"Traphill Elementary","Wilkes County Schools","D - 49","Met","44.0","54"
"West Wilkes High","Wilkes County Schools","B - 78","Exceeded","63.3","31"
"West Wilkes Middle","Wilkes County Schools","C - 69","Exceeded","62.3","40"
"Wilkes Central High","Wilkes County Schools","C - 59","NotMet","43.2","37"
"Wilkesboro Elementary","Wilkes County Schools","B - 72","Met","68.9","43"
"Wilkes Early College High","Wilkes County Schools","B - 76","Met","64.6","71"
"Milton M Daniels Learning Cntr","Wilson County Schools","NA - NA","NA","<5","94"
"B O Barnes Elementary","Wilson County Schools","F - 35","NotMet","27.8","100"
"Charles H Darden Middle","Wilson County Schools","D - 42","Exceeded","30.9","92"
"Beddingfield High","Wilson County Schools","D - 54","NotMet","32.8","71"
"Elm City Elementary","Wilson County Schools","C - 61","Met","54.5","78"
"Elm City Middle","Wilson County Schools","C - 55","NotMet","53.0","48"
"Fike High","Wilson County Schools","C - 64","Met","48.7","49"
"Forest Hills Middle","Wilson County Schools","D - 52","Met","45.0","64"
"Gardners Elementary","Wilson County Schools","B - 77","Met","75.3","80"
"James Hunt High","Wilson County Schools","C - 57","NotMet","43.3","9"
"John W Jones Elementary","Wilson County Schools","D - 54","NotMet","51.4","60"
"Lee Woodard Elementary","Wilson County Schools","D - 47","Met","39.5","70"
"Lucama Elementary","Wilson County Schools","C - 69","Met","69.1","82"
"Margaret Hearne Elementary","Wilson County Schools","D - 45","Met","35.5","100"
"Vick Elementary","Wilson County Schools","F - 28","NotMet","19.3","100"
"New Hope Elementary","Wilson County Schools","B - 75","Exceeded","71.8","35"
"Rock Ridge Elementary","Wilson County Schools","B - 75","Met","72.4","43"
"Speight Middle","Wilson County Schools","C - 59","Exceeded","51.0","75"
"Springfield Middle","Wilson County Schools","C - 55","NotMet","53.1","58"
